year,set_num,id,version
1977,1115-1,6022,1
1977,1116-1,15159,1
1977,1118-1,702,1
2019,111901-1,34764,1
2019,111902-1,39226,1
2019,111903-1,39213,1
2019,111904-1,42111,1
1977,1119-1,15397,1
1977,1-12,38434,1
1973,11-2,1647,1
2020,112005-1,45064,1
2020,112006-1,50115,1
2020,112007-1,70884,1
2020,112008-1,77258,1
1977,1120-1,3248,1
1977,112-1,4456,1
2021,112109-1,85627,1
1977,1121-1,3874,1
2021,112110-1,92919,1
2021,112111-1,100549,1
2021,112112-1,105450,1
2021,112113-1,110193,1
2021,112114-1,115383,1
1966,112-2,3806,1
1977,1122-1,15438,1
1971,112-3,68754,1
1977,1123-1,8353,1
1977,1124-1,14290,1
1977,1125-1,1366,1
1984,1126-1,9396,1
1999,1127-1,1284,1
1997,1128-1,9787,1
1980,1129-1,5246,1
1999,1129-2,4387,1
1977,11-3,3759,1
1980,1130-1,977,1
1977,113-1,6672,1
1981,1131-1,1535,1
1966,113-2,10454,1
1981,1132-1,1530,1
1981,1133-1,15007,1
1981,1134-1,12593,1
1981,1135-1,13005,1
1981,1135-2,13172,1
1981,1135-3,6056,1
1981,1136-1,211,1
1981,1137-1,5565,1
1981,1138-1,14324,1
1981,1139-1,7887,1
1981,1140-1,7272,1
1977,114-1,3401,1
1981,1141-1,147,1
1966,114-2,402,1
1981,1142-1,8685,1
1981,1143-1,11191,1
1981,1144-1,13804,1
1981,1145-1,16331,1
1981,1146-1,6356,1
1981,1147-1,13088,1
1981,1148-1,16238,1
2002,1149-1,2782,1
1982,1149-2,11703,1
1977,1150-1,11931,1
1973,115-1,15067,1
1977,1151-1,10214,1
1966,115-2,3669,1
1977,1152-1,15533,1
2021,115349-1,110183,1
1986,1154-1,14028,1
1985,1160-1,10036,1
1967,116-1,14791,1
1967,116-1,122714,2
1985,1161-1,1242,1
1968,116-2,3250,1
1985,1162-1,2143,1
1985,1163-1,8765,1
1985,1164-1,5643,1
1986,1168-1,7469,1
1986,1169-1,1219,1
1986,1170-1,4266,1
1967,117-1,6557,1
1986,1171-1,5284,1
2020,11717-1,51201,1
1986,1172-1,6717,1
1986,1174-1,5703,1
1982,1175-1,14575,1
1978,1176-1,13884,1
2000,1177-1,9873,1
1986,1178-1,13489,1
1986,1179-1,11152,1
1999,1180-1,1713,1
1968,118-1,2022,1
1999,1181-1,4408,1
1968,118-2,1657,1
1999,1182-1,3899,1
1969,118-3,11119,1
1999,1183-1,14392,1
1999,1184-1,11500,1
1999,1185-1,7330,1
1999,1186-1,3859,1
1999,1187-1,3403,1
1999,1188-1,7373,1
1999,1189-1,7242,1
1999,1190-1,3188,1
2012,11903-1,16141,1
1968,119-1,13765,1
2015,11910-1,9862,1
1999,1191-1,12498,1
2019,11926-1,41876,1
1999,1193-1,25064,1
2020,11938-1,69864,1
2020,11939-1,72642,1
2020,11940-1,73478,1
1999,1194-1,10958,1
2020,11941-1,76834,1
2020,11942-1,78389,1
2020,11943-1,80490,1
2021,11944-1,83931,1
2021,11945-1,83932,1
2021,11946-1,83872,1
2021,11947-1,90224,1
2021,11948-1,83933,1
2021,11949-1,102493,1
2021,11950-1,104411,1
2001,1195-1,14562,1
2021,11951-1,108191,1
2021,11952-1,110274,1
2021,11953-1,112888,1
2021,11954-1,115896,1
2021,11955-1,118453,1
